"IDADE";"SALARIO_ANUAL";"PROPRIEDADE";"ANOS_TRABALHANDO";"MOTIVO_EMPRESTIMO";"PONTUACAO_EMPRESTIMO";"VALOR_EMPRESTIMO";"TAXA_JUROS";"POSSIBILIDADE_INADIMPLENCIA";"RENDA_PERCENTUAL_EMPRESTIMO";"INADIMPLENTE";"SOLICITACAO_CREDITO_CARTAO_DEBITO"
23;90000;"Hipoteca";6.0;"Pessoal";"B";15000;9.99;1;31.2;"N";3
42;82500;"Alugado";3.0;"Pagamento de débito";"A";2575;6.76;0;5.4;"N";11
42;36000;"Alugado";7.0;"Médico";"D";8400;16.32;1;17.5;"Y";15
30;79200;"Hipoteca";10.0;"Educativo";"A";9000;8.49;1;18.8;"N";8
28;57408;"Alugado";2.0;"Melhora do lar";"B";4800;11.99;0;10.0;"N";6
33;29736;"Alugado";0.0;"Empreendimento";"B";9250;9.99;1;19.3;"N";10
23;50000;"Hipoteca";2.0;"Pagamento de débito";"B";14400;10.0;0;30.0;"N";2
24;0;"Alugado";0.0;"Empreendimento";"B";6600;6.92;0;13.8;"N";9
23;68500;"Hipoteca";7.0;"Educativo";"C";4200;11.66;0;8.8;"Y";4
27;42000;"Alugado";2.0;"Médico";"A";6550;7.88;0;13.6;"N";8
26;62000;"Hipoteca";0.0;"";"A";2100;15.99;1;4.4;"N";2
44;30000;"Própria";3.0;"Empreendimento";"B";7500;10.39;0;15.6;"N";11
22;51500;"Hipoteca";6.0;"Educativo";"B";7500;9.88;0;15.6;"N";3
26;104676;"Hipoteca";0.0;"Médico";"A";16000;5.99;0;33.3;"N";4
33;95000;"Alugado";6.0;"Melhora do lar";"A";3200;7.51;0;6.7;"N";5
24;35556;"Própria";9.0;"";"A";4200;13.48;1;8.8;"";4
23;48000;"Hipoteca";2.0;"Educativo";"A";10000;9.32;0;20.8;"N";4
25;66000;"Alugado";7.0;"Pagamento de débito";"B";6500;10.25;0;13.5;"N";3
30;36000;"Hipoteca";2.0;"Empreendimento";"A";3000;6.39;0;6.2;"N";10
24;43680;"Alugado";1.0;"Educativo";"A";10800;5.42;0;22.5;"N";4
27;30000;"Alugado";0.0;"Pessoal";"C";10000;12.68;1;20.8;"N";9
23;36000;"Alugado";0.0;"Pessoal";"C";3000;0.0;1;6.2;"N";4
30;100000;"Alugado";13.0;"Pagamento de débito";"A";12000;7.88;0;25.0;"N";9
26;100000;"Alugado";3.0;"Pagamento de débito";"C";3000;13.57;0;6.2;"N";3
24;55782;"Alugado";3.0;"Pagamento de débito";"A";17000;7.51;0;35.4;"N";3
27;67000;"Alugado";3.0;"Pagamento de débito";"B";6000;9.99;0;12.5;"N";8
25;80208;"Hipoteca";1.0;"Médico";"A";4000;5.42;0;8.3;"N";3
27;31000;"Alugado";4.0;"Pagamento de débito";"A";8000;7.66;1;16.7;"N";8
22;36000;"Própria";6.0;"Educativo";"B";14500;10.99;0;30.2;"N";3
34;135600;"Hipoteca";10.0;"Educativo";"A";1000;5.42;0;2.1;"N";7
37;65000;"Alugado";2.0;"Pessoal";"B";20000;10.25;1;41.7;"N";16
24;72000;"Hipoteca";1.0;"Empreendimento";"A";12000;5.42;0;25.0;"N";4
25;49200;"Hipoteca";2.0;"Educativo";"B";6000;10.0;0;12.5;"N";4
23;60000;"Alugado";1.0;"Pagamento de débito";"B";6200;10.65;0;12.9;"N";3
32;72000;"Alugado";5.0;"Empreendimento";"A";6000;8.49;0;12.5;"N";10
21;45176;"Alugado";1.0;"Médico";"B";12000;11.49;0;25.0;"N";3
27;48000;"Alugado";2.0;"Pessoal";"C";25000;10.59;1;52.1;"N";7
32;80000;"Alugado";3.0;"Melhora do lar";"A";12000;6.62;0;25.0;"N";10
30;60600;"Hipoteca";1.0;"Educativo";"A";3000;7.12;0;6.2;"N";6
26;45760;"Alugado";8.0;"Pagamento de débito";"C";11500;11.78;0;24.0;"N";4
33;25000;"Hipoteca";0.0;"Pagamento de débito";"C";3000;12.53;0;6.2;"Y";10
33;32004;"Alugado";3.0;"Pessoal";"A";4000;8.32;0;8.3;"N";9
23;60000;"Hipoteca";7.0;"Médico";"A";7000;7.9;0;14.6;"N";4
44;76000;"Hipoteca";3.0;"Melhora do lar";"C";3600;14.79;0;7.5;"Y";12
23;26000;"Hipoteca";2.0;"Empreendimento";"E";7000;14.93;0;14.6;"Y";4
38;67200;"Hipoteca";11.0;"Educativo";"A";8000;7.9;0;16.7;"N";11
31;78000;"Hipoteca";0.0;"Pagamento de débito";"A";5000;0.0;1;10.4;"N";7
25;5000;"Alugado";0.0;"Empreendimento";"B";1000;9.64;1;2.1;"N";4
32;40000;"Alugado";1.0;"Médico";"C";4000;13.49;0;8.3;"Y";8
23;36100;"Alugado";2.0;"Pagamento de débito";"A";5000;7.49;0;10.4;"N";2
22;58800;"Hipoteca";0.0;"Pessoal";"D";23500;15.33;1;49.0;"N";2
23;125000;"Hipoteca";7.0;"Médico";"B";10000;9.99;0;20.8;"N";2
33;25000;"Alugado";0.0;"Pagamento de débito";"C";8500;13.43;1;17.7;"N";6
21;95000;"";5.0;"Empreendimento";"A";15000;10.99;0;31.2;"N";6
27;35000;"Alugado";3.0;"Pessoal";"A";4200;0.0;0;8.8;"N";5
27;60000;"Hipoteca";3.0;"Educativo";"C";5000;12.73;0;10.4;"Y";8
24;33198;"Alugado";3.0;"Médico";"C";7000;14.27;1;14.6;"N";3
38;41280;"Alugado";3.0;"Pagamento de débito";"C";6000;13.61;0;12.5;"Y";17
32;85000;"Alugado";7.0;"Pagamento de débito";"B";6000;11.71;0;12.5;"N";5
25;42000;"Alugado";5.0;"Educativo";"C";10000;12.99;0;20.8;"Y";2
23;51000;"Alugado";7.0;"Pessoal";"A";17000;8.49;1;35.4;"N";4
25;24000;"Hipoteca";0.0;"Pagamento de débito";"A";5800;5.99;0;12.1;"N";3
37;50000;"Hipoteca";0.0;"Educativo";"A";20000;6.17;0;41.7;"N";12
24;97000;"Hipoteca";3.0;"Pagamento de débito";"C";6400;15.96;0;13.3;"Y";2
27;50000;"Alugado";5.0;"Médico";"C";8000;13.43;0;16.7;"N";10
23;40000;"Hipoteca";6.0;"Pessoal";"B";7200;11.11;0;15.0;"N";2
27;48000;"Alugado";5.0;"Médico";"B";9000;10.99;0;18.8;"N";10
22;54000;"Alugado";2.0;"Médico";"D";10000;13.36;1;20.8;"Y";3
23;95620;"Hipoteca";7.0;"Educativo";"D";13500;14.96;0;28.1;"Y";4
26;100800;"Hipoteca";7.0;"Educativo";"B";8000;11.99;0;16.7;"N";3
39;117996;"Alugado";6.0;"Melhora do lar";"D";7500;13.24;1;15.6;"Y";14
37;110000;"Hipoteca";11.0;"Melhora do lar";"A";12000;7.88;0;25.0;"N";16
36;45600;"Alugado";8.0;"Pessoal";"D";8775;12.36;0;18.3;"Y";17
23;15600;"Alugado";0.0;"Pagamento de débito";"A";2500;7.29;1;5.2;"N";3
26;70000;"Alugado";4.0;"Pagamento de débito";"A";4000;5.99;0;8.3;"N";4
25;30000;"Hipoteca";0.0;"Melhora do lar";"C";6000;14.35;0;12.5;"Y";2
